country,energy productivity,gross energy,energy supply,final consumption,household consumption,transport consumption,industry consumption
Austria,10.63,32427.819,31794.511,24823.616,6642.483,7522.505,262.408
Bosnia and Herzegovina,2.37,7310.108,7279.512,4290.012,1840.954,1322.062,178.288
Belgium,7.22,59927.149,50529.535,30383.39,7299.413,8660.689,301.812
Bulgaria,2.53,19622.719,19335.484,9854.067,2137.397,3468.082,209.854
Cyprus,8.77,2859.166,2306.329,1609.596,360.543,654.346,30.593
Czechia,4.71,41864.933,41600.178,24232.335,7156.714,6925.284,694.524
Germany,10.64,283743.351,273324.487,190442.433,57315.123,50481.621,2842.82
Denmark,17.75,17190.047,15924.128,13036.306,4027.803,3984.139,103.397
Estonia,4.19,5163.309,4796.355,2720.738,963.88,845.746,1.596
Greece,8.32,23773.938,20663.408,15399.676,4316.635,5866.033,65.208
Spain,9.26,128119.622,115819.806,77873.473,14279.433,32477.593,270.743
Finland,6.36,32831.938,31963.083,23172.696,5642.879,3856.903,106.933
France,10.28,221000.832,215037.155,132682.3,37227.572,44511.582,635.648
Croatia,6.76,8526.917,8322.109,6719.174,2286.359,2234.877,79.07
Hungary,5.39,25789.597,25530.915,17961.469,5818.606,5277.609,72.357
Ireland,26.77,14791.925,13662.292,11058.173,2737.238,3983.706,70.828
Italy,11.08,150530.89,145220.387,110777.728,30043.22,36684.754,306.2
Lithuania,5.87,7286.529,7030.581,5376.688,1558.114,2103.595,106.794
Luxembourg,14.7,3827.57,3180.237,3032.114,457.529,1551.608,40.571
Latvia,5.53,4512.909,4260.473,3821.053,1112.212,1022.107,8.477
Montenegro,3.87,1061.592,1043.217,752.609,248.872,299.369,2.002
North Macedonia,3.31,2741.433,2714.572,1812.605,493.981,743.988,33.081
Netherlands,9.85,78725.153,63978.283,39392.365,8566.457,9179.524,113.294
Norway,14.67,27023.325,26254.266,19808.23,4434.942,5172.252,496.097
Poland,5.29,104931.818,103680.019,71228.668,20775.048,23899.797,2362.645
Portugal,8.54,23289.048,21196.904,16170.756,2965.934,5793.595,6.789
Romania,6.03,31682.852,31574.081,23919.775,7894.699,7441.108,508.623
Serbia,2.53,16438.396,16280.771,9491.229,3426.41,2673.208,106.135
Sweden,10.11,47871.143,45116.763,31202.144,7061.936,6590.0,333.48
Slovenia,7.24,6368.836,6346.628,4754.182,1046.416,1971.102,27.565
Slovakia,5.4,16618.209,16584.081,9915.221,2686.513,2659.961,212.357
Türkiye,6.71,169483.85,164775.484,106458.457,26503.357,30489.327,5765.747
Kosovo*,2.47,2662.158,2658.464,1486.983,555.07,430.051,19.359
